Path|Engagement|Structure|AI Readability|Completeness
/home/runner/work/barodybroject/barodybroject/events/README.md|20|70|0|15
/home/runner/work/barodybroject/barodybroject/.vscode/README.md|40|70|0|40
/home/runner/work/barodybroject/barodybroject/scripts/README.md|75|30|55|100
/home/runner/work/barodybroject/barodybroject/.github/workflows/archive/README.md|10|60|0|15
/home/runner/work/barodybroject/barodybroject/.github/workflows/README.md|60|45|0|65
/home/runner/work/barodybroject/barodybroject/.github/README.md|90|30|40|100
/home/runner/work/barodybroject/barodybroject/.github/agents/README.md|90|45|75|85
/home/runner/work/barodybroject/barodybroject/.github/instructions/README.md|40|45|60|70
/home/runner/work/barodybroject/barodybroject/.github/ISSUE_TEMPLATE/README.md|60|70|0|40
/home/runner/work/barodybroject/barodybroject/.devcontainer/README.md|40|40|0|40
/home/runner/work/barodybroject/barodybroject/README.md|90|55|50|100
/home/runner/work/barodybroject/barodybroject/docs/configuration/README.md|25|60|40|45
/home/runner/work/barodybroject/barodybroject/docs/README.md|55|60|40|60
/home/runner/work/barodybroject/barodybroject/docs/changelog/releases/v1.0.0/README.md|30|30|40|100
/home/runner/work/barodybroject/barodybroject/docs/changelog/README.md|60|60|40|100
/home/runner/work/barodybroject/barodybroject/docs/features/README.md|35|70|40|25
/home/runner/work/barodybroject/barodybroject/test/README.md|30|30|25|80
/home/runner/work/barodybroject/barodybroject/infra/README.md|60|40|0|40
/home/runner/work/barodybroject/barodybroject/infra/app/README.md|60|40|0|40
/home/runner/work/barodybroject/barodybroject/infra/shared/README.md|60|70|0|40
/home/runner/work/barodybroject/barodybroject/infra/modules/README.md|40|70|0|40
/home/runner/work/barodybroject/barodybroject/src/_data/README.md|10|45|15|40
/home/runner/work/barodybroject/barodybroject/src/_data/navigation/README.md|50|40|0|40
/home/runner/work/barodybroject/barodybroject/src/setup/README.md|65|45|40|75
/home/runner/work/barodybroject/barodybroject/src/parodynews/schema/README.md|40|40|0|40
/home/runner/work/barodybroject/barodybroject/src/parodynews/templatetags/README.md|40|70|0|40
/home/runner/work/barodybroject/barodybroject/src/parodynews/utils/README.md|40|40|0|40
/home/runner/work/barodybroject/barodybroject/src/parodynews/migrations/README.md|40|40|0|40
/home/runner/work/barodybroject/barodybroject/src/parodynews/scripts/README.md|40|40|0|40
/home/runner/work/barodybroject/barodybroject/src/parodynews/README.md|40|40|0|40
/home/runner/work/barodybroject/barodybroject/src/parodynews/docs/README.md|40|40|0|50
/home/runner/work/barodybroject/barodybroject/src/parodynews/docs/source/README.md|40|40|0|40
/home/runner/work/barodybroject/barodybroject/src/parodynews/tests/scripts/README.md|40|40|0|40
/home/runner/work/barodybroject/barodybroject/src/parodynews/tests/scripts/functions/README.md|40|40|0|40
/home/runner/work/barodybroject/barodybroject/src/parodynews/tests/README.md|40|40|0|40
/home/runner/work/barodybroject/barodybroject/src/parodynews/tests/data/README.md|40|40|0|40
/home/runner/work/barodybroject/barodybroject/src/parodynews/templates/admin/README.md|40|75|0|55
/home/runner/work/barodybroject/barodybroject/src/parodynews/templates/socialaccount/messages/README.md|40|45|0|55
/home/runner/work/barodybroject/barodybroject/src/parodynews/templates/socialaccount/email/README.md|40|45|0|55
/home/runner/work/barodybroject/barodybroject/src/parodynews/templates/socialaccount/README.md|60|45|0|55
/home/runner/work/barodybroject/barodybroject/src/parodynews/templates/socialaccount/snippets/README.md|60|75|0|55
/home/runner/work/barodybroject/barodybroject/src/parodynews/templates/allauth/README.md|40|40|0|40
/home/runner/work/barodybroject/barodybroject/src/parodynews/templates/allauth/elements/README.md|40|70|0|40
/home/runner/work/barodybroject/barodybroject/src/parodynews/templates/allauth/layouts/README.md|40|70|0|40
/home/runner/work/barodybroject/barodybroject/src/parodynews/templates/usersessions/messages/README.md|40|70|0|40
/home/runner/work/barodybroject/barodybroject/src/parodynews/templates/usersessions/README.md|40|70|0|40
/home/runner/work/barodybroject/barodybroject/src/parodynews/templates/parodynews/README.md|40|40|0|40
/home/runner/work/barodybroject/barodybroject/src/parodynews/templates/mfa/webauthn/README.md|75|75|0|55
/home/runner/work/barodybroject/barodybroject/src/parodynews/templates/mfa/webauthn/snippets/README.md|55|75|0|55
/home/runner/work/barodybroject/barodybroject/src/parodynews/templates/mfa/totp/README.md|60|45|0|55
/home/runner/work/barodybroject/barodybroject/src/parodynews/templates/mfa/messages/README.md|60|45|0|55
/home/runner/work/barodybroject/barodybroject/src/parodynews/templates/mfa/email/README.md|60|45|0|55
/home/runner/work/barodybroject/barodybroject/src/parodynews/templates/mfa/README.md|60|45|0|55
/home/runner/work/barodybroject/barodybroject/src/parodynews/templates/mfa/recovery_codes/README.md|60|45|0|55
/home/runner/work/barodybroject/barodybroject/src/parodynews/templates/includes/README.md|60|75|0|55
/home/runner/work/barodybroject/barodybroject/src/parodynews/templates/README.md|40|40|0|40
/home/runner/work/barodybroject/barodybroject/src/parodynews/templates/menu/README.md|40|45|0|55
/home/runner/work/barodybroject/barodybroject/src/parodynews/templates/account/messages/README.md|60|45|0|40
/home/runner/work/barodybroject/barodybroject/src/parodynews/templates/account/email/README.md|40|45|0|55
/home/runner/work/barodybroject/barodybroject/src/parodynews/templates/account/README.md|40|70|0|40
/home/runner/work/barodybroject/barodybroject/src/parodynews/templates/account/snippets/README.md|60|75|0|40
/home/runner/work/barodybroject/barodybroject/src/parodynews/templates/registration/README.md|40|45|0|55
/home/runner/work/barodybroject/barodybroject/src/parodynews/management/commands/README.md|75|40|0|40
/home/runner/work/barodybroject/barodybroject/src/parodynews/management/README.md|40|40|0|40
/home/runner/work/barodybroject/barodybroject/src/scripts/README.md|40|40|0|40
/home/runner/work/barodybroject/barodybroject/src/barodybroject/README.md|40|40|0|40
/home/runner/work/barodybroject/barodybroject/src/pages/README.md|40|40|0|40
/home/runner/work/barodybroject/barodybroject/src/pages/_docs/README.md|40|40|25|40
/home/runner/work/barodybroject/barodybroject/src/pages/_posts/README.md|50|40|25|40
/home/runner/work/barodybroject/barodybroject/src/pages/_about/README.md|40|40|25|40
/home/runner/work/barodybroject/barodybroject/src/assets/images/README.md|40|70|15|50
/home/runner/work/barodybroject/barodybroject/src/assets/README.md|40|40|0|40
/home/runner/work/barodybroject/barodybroject/src/assets/js/README.md|40|70|0|40
/home/runner/work/barodybroject/barodybroject/src/README.md|20|70|0|15
/home/runner/work/barodybroject/barodybroject/src/docs/README.md|40|40|0|40
/home/runner/work/barodybroject/barodybroject/README/README.md|0|15|0|15
